brand,product,shipping
EVGA,EVGA GeForce GTX 1660 SC ULTRA GAMING| 06G-P4-1067-KR| 6GB GDDR5| Dual Fan| Metal Backplate,Free Shipping
ASUS,ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),Free Shipping
GIGABYTE,GIGABYTE Radeon RX 5600 XT WINDFORCE OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-R56XTWF2OC-6GD Video Card,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,$3.99 Shipping
EVGA,EVGA GeForce GTX 1660 XC GAMING| 06G-P4-1163-KR| 6GB GDDR5| HDB Fan,Free Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card| PCIe 3.0| 8GB 256-Bit GDDR5| GV-RX580GAMING-8GD REV2.0 Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING-8GD 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
XFX,XFX Radeon RX 5600 XT RX-56XT6DF46 Video Card THICC II PRO-14GBPS 6GB BOOST UP TO 1620M D6  3xDP HDMI,Free Shipping
ASRock,ASRock Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 4GO 4GB 128-Bit GDDR6 PCI Express 4.0 x8 HDCP Ready Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2060 XC GAMING| 6GB GDDR6| HDB Fan Graphics Card 06G-P4-2063-KR,Free Shipping
